
ActivityId,ActivityDate,ServiceId,LocationId,IndicatorId,Duration,Value,RecordSource
1,2026-05-01,1,1,1,45,30,SourceSystemA
2,2026-05-01,2,2,2,30,85,SourceSystemB
3,2026-05-02,3,3,3,60,5,SourceSystemC
4,2026-05-02,4,4,4,120,80,SourceSystemA
5,2026-05-03,5,5,5,90,4,SourceSystemB
6,2026-05-03,6,1,6,30,75,SourceSystemC
7,2026-05-04,1,2,1,55,32,SourceSystemA
8,2026-05-04,2,3,2,35,88,SourceSystemB
9,2026-05-05,3,4,3,70,7,SourceSystemC
10,2026-05-05,4,5,4,110,78,SourceSystemA
11,2026-05-06,5,1,5,85,3.5,SourceSystemB
12,2026-05-06,6,2,6,25,72,SourceSystemC
13,2026-05-07,1,3,1,40,28,SourceSystemA
14,2026-05-07,2,4,2,32,90,SourceSystemB
15,2026-05-08,3,5,3,65,6,SourceSystemC
16,2026-05-08,4,1,4,100,82,SourceSystemA
17,2026-05-09,5,2,5,95,4.5,SourceSystemB
18,2026-05-09,6,3,6,28,70,SourceSystemC
19,2026-05-10,1,4,1,50,29,SourceSystemA
20,2026-05-10,2,5,2,33,87,SourceSystemB
